UDID,Headline_Alt,What_are_the_benefits,What_are_the_risks,What_might_the_cost_be,How_much_time_might_be_involved,Who_can_use_this,Whos_involved,How_much_is_this_used,What_are_the_possible_outcomes
B1015,Enforcing to defend ,"The benefits of enforcing your own IP as a response to another infringement action will vary depending on the nature of the infringement and the strength of your IP. In general, some of the strengths of this action are:
* It can help provide clarity about the respective strengths of your positions.

* Taking a proactive step may help you in later negotiations or mediations.

* It can help speed up the dispute if the other party is disingenuous.","The inherent risks of this action will vary depending on the nature of the infringement and the strength of your IP. In general, some of the risks of this action are:
* Attempts to enforce a non-valid or non-relevant right can expose someone to legal issues such as unjustified threats (for more information, please seeUnjustifiedThreats).

* Trying to enforce a non-valid IP right will likely require a large investment without the possibility of a return.

* Attempting to enforce a right that is not valid will likely increase the damages levied against the losing party in a successful IP enforcement action.
Attempting to enforce your IP in response to an enforcement action can be a strategic decision, however you should 

strongly consider

the relative strength and validity of the IP rights in question. You may wish to consider speaking to an IP lawyer or IP attorney before taking this course of action.",,,"We have not provided an indication of who can use this option guide because it encompasses a variety of situations.
However, making a counter-action against an accusation of infringement is a serious matter, and must have a genuine basis. Before responding with an enforcement action or a counter-action, it is worth being aware that using this option can sometimes result in 

serious legal consequences",,"IP rights holders can choose to enforce their IP rights through a wide range of enforcement options with varying degrees of specialisation, features and prevalence. Some enforcement options are, by nature, more accessible than others that require more time, commitment and effort.","The outcomes of enforcing your IP depend heavily on your individual circumstances, the type of IP rights involved and the enforcement pathway you take. You can find out more about possible outcomes relating to a specific enforcement option via using the '

I believe my IP has been infringed'

 

pathway. Otherwise, you can simply use 

All enforcement options | IP Australia First Response

 page to view information on different enforcement options."
101-8,Infringement 101,,,,,,,,
B1017,Design certification ,"* Converts your registered design into a certified design allowing you to enforce it against infringers.

* Provides proof of validity, providing further deterrence to possible copycats (in comparison to a registered but uncertified design).

* May provide further surety to investors, licensees and customers over the validity and value of your intellectualproperty.","* Examination could lead to you needing to amend your registered design.

* Examination could lead to your registered design being revoked.

* Failing to pay your share of the examination fee (when examination is requested by a third party) will cause your registration to cease.

* A certificate of examination related to a registered design does not guarantee success; enforcing a design may still be costly.",,,"* The registered design owner or an exclusive licensee who wants to enforce the right.

* Any other person (for example, a competitor) can request examination.",,"As of 2024, approximately 20% of designs registered with IP Australia were also certified.","* Your registered design is certified and becomes enforceable.

* You apply to amend your registered design so it can be certified, a list of allowable amendments can be found in the relevant section of the Designs Manual:22.2.1. Amending an application: Amendments that are allowable | IPA Manuals

* Your registered design is revoked because you were unable to overcome objections or other matters raised by theExaminer within the relevant time limit (whether through submissions, amendments to your registration, lodgement of evidence or other steps).

* You do not pay your share of the fee for a third-party examination and your registered design ceases."
D1028,Negotiation,"* Often cost-effective.

* Quick and easy to initiate, and can progress to an agreed outcome quickly where both parties are willing and able to do so.

* The ability to agree to a creative, productive outcome that can benefit both parties commercially.

* Much less adversarial than legal procedures, helping you preserve your relationship with the other parties involved.

* Flexible and informal, as it is entirely up to the parties to shape the process

* Parties can focus on the issues that matter to both sides.

* Negotiation can be conducted across multiple jurisdictions.

* Parties can agree to keep the negotiations confidential.

* Other enforcement processes often expect you to take genuine steps to resolve a dispute before escalating.","* Relies on genuine engagement and willingness of parties to resolve issues.

* If you do not agree to enter into a legally binding agreement that sets out the agreed outcomes from the negotiations, it may be difficult to enforce the outcomes. This risk can be avoided if you enter into a legally binding agreement.

* If you do not negotiate in good faith with the other parties, this may prompt them to escalate and resist, rather than comply.

* Depending on what you say to the other parties, or what you might agree with them, this could impact your ability to take other enforcement action in future. It is usually prudent to tell the other parties that any negotiations are on a 'without prejudice' basis and to include this in any written communications with them.",,,Anyone whose IP is being infringed.,,"Commercial negotiations are a very common strategy to resolve IP disputes. Even where parties decide to take more formal enforcement action, they will often continue to seek to resolve their dispute through negotiations to avoid the time and expense of enforcement action.","Commercial negotiations can result in a wide range of different outcomes depending on the parties' desires and specific circumstances. Some popular forms of commercial arrangements involving IP include:
Licensing
You can agree to a licensing agreement. Licensing involves the owner of the IP or someone else with a right to licence the IP (the licensor) giving someone else (the licensee) permission to use - but not own - their IP usually in exchange for payment. For detailed information on types of licences and licence conditions, see 

How To Licence My IP | IP Australia

.
Assignment (selling or transferring your IP)
You may decide to sell your IP as part of your negotiation with the other party. This involves transferring the ownership of the IP to another entity (the assignee) through a process called 'assignment' so that you no longer have the rights to use the IP.
Once assignment is completed, you won't have any control over the IP asset you have sold unless you have agreed that the assignee licence some rights back to you. The assignee will bear the risk of commercial development of the IP and be responsible for all costs, including renewal fees paid to IP Australia.
Once the title of a registered IP right has been assigned through a contractual agreement, the transfer of the ownership can be recorded on the IP Australia register through IP Australia's

Online Services portal

.
Franchising (trade marks)
In a franchise agreement, you can give one or more parties (the franchisees) the right to use your trade mark or trade name, your business systems and processes, and so on.
The licensed rights are typically used by the franchisees to provide goods or services to agreed specifications. In return, they pay royalties and fees. Franchisees often contribute to marketing costs for the brand as well. Franchising is a highly regulated area of law and you should consult with a franchising expert such as a franchising lawyer before agreeing to a franchising agreement

.
Letter of consent or co-existence agreement (trade marks)
Trade mark owners can negotiate to have their trade marks co-exist in the market. This can allow both parties to use potentially conflicting rights in ways that both agree to (such as in certain geographical areas).
Trade mark co-existence agreements may take the form a formal contract stipulating rights and obligations of both parties, or a letter of consent where a party gives the other party (often in the form of

a letter

) consent to the registration of their right with IP Australia."
Dxxxx,,"* Often cost-effective.

* Quick and easy to initiate.

* Possibility of stopping infringing behaviour without the need for additional stepsand the stress of more formal actions.

* Allows you to consider many options to escalate, if suspected infringement continues.

* Other enforcement processes often expect you to take genuine steps to resolve a dispute before escalating.","* Making an unjustified threat that you will start legal action against another person for IP infringement can result in liability for compensation, damages and costs resulting from the threat and in you being ordered to stop making the threat.

* Using unreasonably aggressive or unprofessional tone in the communication with the other party may prompt the other party to escalate and resist, rather than comply.

* Alerting the other party, regardless of the legitimacy of your claim, can expose you counterclaims or actions from the other party, which may escalate the conflict in an unwanted way. This could jeopardise your IP rights.

* For registered rights, it might prompt the other party to challenge the validity or registrability of your IP right in an attempt to undermine your claims.

* In the case of trade marks, the other party may apply for a trade mark as a defensive strategy against your claims, and you may then need to decide if you wish to oppose their application.

* Contacting the suspected infringer might give them time to hide or destroy evidence. This could harm your case in future legal actions. If you are worried about this possibility, you should seek legal advice before communicating with the other party.

* Depending on what you say to the other party, or what you might agree with them, this could impact your ability to take other enforcement action in future. It is usually prudent to tell the other party that any informal communications are on a 'without prejudice' basis and to include this in any written communications with them.",,,Someone who owns IP (or in limited cases authorised user) and can provide evidence of their rights.,,,"Informal communication with the other party can result in a wide range of different outcomes depending on the specific circumstances.
Some possible outcomes are:
* The alleged infringing behaviour stops following the conversation, especially if the other party was simply unaware of existing IP rights.

* The alleged infringer does not change their behaviour, in which case you may have to consider other enforcement options.

* Parties can engage in further communication disputing part or all of your claims.

* The alleged infringer is placed on notice that their conduct may involve infringement, which may assist you to seek monetary compensation if you later commence court action.

* The conflict can further escalate into more serious, formal dispute settlement procedures (for example, sending a letter of demand, litigation, mediation, arbitration, administrative hearings.).

* The other party may not fulfil all the requirements but may be willing to participate in some form of negotiation.

* The other party may commence proceedings challenging the validity of the IP right, or be prompted to take legal action against you (for instance if they are of the opinion that you are infringing on their rights). This could include seeking damages or compensation for unjustified threats."
E1013,Complaints,,,,,,,,
D1067,Notification of prior art,"* Quick and free to lodge via IP Australia's online system.

* Allows you to influence examination without needing to file a formal opposition.

* No need to be an IP owner or have legal standing.

* Helps protect your freedom to operate by challenging overly broad or undeserved patents.

* Can avoid or reduce later costs by addressing issues early.

* May prompt the examiner to reject or narrow the applicant's patent application.","* Submissions become public and can be seen by the patent applicant.

* Mistakes (like poor translations, unclear submission, or weak supporting evidence) may reduce the impact of your submission.",,,"* Any individual or business; there is no need to own a patent or be directly affected.

* This can only be submitted within the allowed time window.",,S27 notices are rarely submitted to IP Australia.,"The examiner will review the submission and decide what to do.
* The examiner raises objections based on your notice, and the application may be rejected if the objections are not overcome.

* Objections raised due to the S27 submissions may lead to the applicant amending their claims, potentially reducing the scope of protection.

* The examiner decides your notice doesn't change their view.
If the examination proceeds and no other issues are found, the application will be accepted, and you may need to consider alternate avenues of opposition if you still believe the patent should not proceed to grant."
C1015,Apply for a patent,"* Gives you exclusive rights to your invention for up to 20 years.

* Stops others from legally copying, using or profiting from your invention.

* Builds your bargaining power with investors, licensees or competitors.

* Can increase the commercial value of your product or business.

* May deter others from trying to copy your idea once they see it's protected.

* Positions you to take legal action if suspected infringement occurs.","* Filing a patent may result in details of your invention becoming public.

* The process can take years and may not result in a granted patent.

* Competitors may try to challenge your application or patent.

* Costs may be significant, especially if you use a patent attorney or seek international protection.

* A granted patent only protects you in the country where it was filed.

* You may need to enforce the patent yourself if someone uses your invention without permission.",,,"* Anyone who has developed a new invention that is not yet publicly disclosed.

* Individuals, businesses or researchers who want exclusive rights to their innovation.",,"Over 30,000 patents are filed annually in Australia.","* Your patent is granted, and you receive exclusive legal rights.

* Your application is rejected due to lack of novelty, inventive step or other criteria (such as a lack of support for the claims, or other issues with the specification such as a lack of clarity).

* Your patent is opposed by a third party, leading to a hearing or negotiation.

* You withdraw the application or let it lapse due to cost, complexity or commercial decisions.

* You license or sell the patent to another party."
D1038,eCommerce platform,"* Cost-effective.

* Often quick to action and obtain outcome.

* Simple to prepare and initiate compared to other enforcement options.

* Outcome-focused, as it targets infringing products/content directly and prevents customers making purchases/accessing the infringing content.

* Some platforms are not limited by the country the infringer is located in, due to these platforms having an international reach - while others only action takedown requests within jurisdictions in which the rights apply.

* You may not need to identify or track down the infringer yourself.

* Being able to reduce infringement and prevent sales being diverted by addressing infringement on a major sales channel.","* Due to the one-off nature of this process there is a risk that the counterfeiters/infringers can return in the future. You will usually need to continuously monitor for reoccurrence.

* Online platforms can only take down infringing products or content from their platforms, and do not have power to stop the infringing behaviour itself.

* The outcome of the action can be somewhat unpredictable, as platforms will have different set of rules and procedures in dealing with complaints.",,,"Some mechanisms offered by platforms may require you to be a seller or user with a valid account. However, access to specific services and complaint mechanisms can vary in accordance with each platform's terms and conditions.",,"IP-related takedown notices submitted to platforms is likely in the 

millions annually.","The outcomes of your complaints with online platforms can vary in accordance with policy, service offerings, and the terms and conditions of each platform. Some possible outcomes include:
* Infringing products and content being removed from the platform.

* Being required to provide further information, documentation or evidence.

* Refusal to take an action, whether it is due to lack of evidence or their assessment that infringing behaviour did not take place."
C1009,Create Contact Clauses,"* TheWIPO AMCis specialised in IP and technology disputes and offers time and cost efficient ADR options.

* Helps you clearly set out in your contract how international IP disputes will be managed through confidential and neutral dispute resolution processes such as mediation or arbitration.

* Helps you explore widely recognised ADR options - including mediation, arbitration, expedited arbitration and expert determination - and guides you through common decisions often built into contracts. These include choosing the type of process, naming a mediator or arbitrator, setting expectations around their qualifications or expertise, agreeing on the location and language of proceedings, online conduct of proceedings, and specifying how long to wait before escalating to the next step.

* Suitable for both drafting new contracts and resolving existing disputes.

* Can be used for both new contract drafting and resolving existing disputes.

* Free to use and easy to customise.","* As a free, automated tool, it does not replace tailored legal advice.

* Poorly drafted clauses may miss key protections or overlook important details. As this is a general-purpose tool, using it without help from a qualified IP professional may not address your specific needs, industry standards or jurisdictional issues. For example;

* You may be less able to seek resolution within Australia if you commit to international resolution processes, or

* You may wave certain rights such as the ability to appeal a decision after arbitration.

* Contact clauses may not suit all situations - particularly if your dispute requires court enforcement or urgent remedies.

* Requires agreement from both parties to be effective.

* While WIPO ADR outcomes are widely respected, enforcing awards across borders may still need legal assistance.",,,"* Any business entering into a contract that may involve IP issues - particularly international contracts.

* Businesses with existing disputes they wish to refer toWIPO Arbitration and Mediation Center",,"In 2024, the WIPO Arbitration and Mediation Center (WIPO AMC) was involved in the resolution of 858 intellectual property (IP), innovation, and technology disputes.
Larger businesses will typically include provisions to resolve disputes in their contracts, though this can be overlooked by smaller businesses.","* A ready-to-insert clause referring potential future IP disputes are added and agreed to by both parties and signed into contracts.

* Using the clause-generator helps both parties explore and discuss their preferences; negotiating from a standard starting point.

* Parties do not reach an agreement and no clause is included in the contract."
C1020,Designs search,"* Identifies potential conflicts before launching your product.
* Reduces the risk of disputes or costly redesigns, or further investment in a product which you may not be able to sell.
* Can support investment decisions and product launches with greater confidence.
* Helps you understand the designs landscape in your industry.
* May reveal licensing opportunities or expired designs you can freely use.","* Searches may not uncover every potential conflict, especially overseas.
* Designs filed in foreign countries can be filed in Australia and given a backdated filing date (up to six months) under international agreements.

* Complex results or somewhat similar designs may be difficult to interpret without expert help.

* This search might not identify other IP rights which might be infringed

* Relying only on a basic search, without professional assistance, may result in missed conflicts and later disputes.",,,"* Anyone developing a new product or design.
* Businesses considering launching in Australia or internationally.
* Investors, partners and local distributors wanting assurance before committing to a design-reliant project.",,"Freedom to operate searches are fairly common practice, particularly when considering new or updated products or selling in new countries. It forms a significant part of an IP monitoring strategy.
In smaller enterprises, this is more likely to be handled in-house, although professional IP monitoring and searching services are also widely used.","* You find no similar registered designs and feel more confident to proceed.
* You identify similar designs, leading you to adjust or rethink your design.
* You learn that you may need to seek a licence or agreement with another rights holder.
* You decide to engage further professional help for complex results."
101-5,Infringement 101,,,,,,,,
D1021,Trade mark registration revocation,"* There is no cost involved in giving this information to IP Australia.

* Revocation procedures are generally run internally within IP Australia, meaning that you are less likely to confront other parties, compared to more adversarial ways of dispute resolution (i.e. court proceedings, administrative hearing procedures, etc.).","* IP Australia does not have an obligation to consider a request to revoke a trade mark registration. As such, it might be risky to base your entire enforcement strategy on this procedure expecting IP Australia to make a revocation decision, instead of using other enforcement mechanisms such as challenging the trade mark registration through the court system.

* While IP Australia does not publish the details of the party who requested revocation, it is possible for documents to be obtained under Freedom of Information Act 1982 so the owner of the trade mark can ascertain the identity of the party who requested revocation.

* This procedure provides a much more limited opportunity to participate in the decision-making process, when compared to challenging a trade mark registration through the opposition and hearing procedures or courts.

* Even if revocation of acceptance follows revocation of registration, the application will be returned to examination and the owner of the application will be given 15 months to overcome the grounds for rejection preventing their application from achieving acceptance.

* In some rare cases, the application may only be reverted to acceptance stage even though the registration has been revoked, meaning that opposition process would need to be initiated to block the application proceeding to registration once more. You might need to undertake an opposition in order to prevent registration occurring again.",,,* Anyone.,,"Out of more than 900,000 trade marks registered with IP Australia, only a handful of trade marks are revoked each year.","* Upon receipt of information, IP Australia may initiate the procedure to revoke the registered trade mark.

* Revocation procedure is not initiated despite the information provided. As noted above, IP Australia does not have an obligation to consider a request to revoke a trade mark registration.

* Once the revocation procedure is initiated, IP Australia must give the owner of the registered trade mark the opportunity to be heard on the revocation (to put their case forward why it shouldn't be revoked). If they are successful, the registration will be maintained. If they are unsuccessful, the registration can be revoked.

* If a decision is made to revoke registration, the owner of the registered trade mark is able to appeal this decision to the courts. If they are successful, the registration will be maintained. If they are unsuccessful, the registration can be revoked."
B1019,Opposition process,"* A successful opposition weakens the other party's rights to the trade mark that is allegedly being copied or used without permission.

* Trade mark opposition and hearing processes are more informal and generally quicker than court proceedings in reaching an outcome.

* Hearing officers in IP Australia have a high level of expertise, experience and authority in the field of trade mark law.

* The process is accessible without professional assistance required, though IP professionals are commonly used.

* The process allows parties to request a cooling-off period or temporary suspension of the process to engage in negotiations and settlement, should they wish to resolve the dispute that way.

* You can withdraw from the opposition process at any time before the hearing officer has made a decision. This allows parties to start and continue negotiation throughout the opposition process and agree to withdraw from the process if a settlement is reached.","* If your opposition is unsuccessful and the trade mark proceeds to registration, you may also be required to pay the other party's costs.

* When opposing the registration of a trade mark, the applicant will be notified of your opposition. You should consider your overall strategy and if you are comfortable having the other party be aware of your actions.

* Due to the public nature of these procedures there is a risk of public scrutiny, exposure of sensitive information, negative publicity or reputational damage. The decision to take an enforcement action should be considered as part of your IP/brand protection strategy.

* There is a risk that taking this action would require you to defend your own IP rights. The ruling might not go your way and undermine the strength of your own IP.

* Using these procedures improperly can be considered a bullying tactic and may expose you to costs.

* If you are successful in opposing registration of a trade mark, the denied applicant may appeal the decision to court.

* If you lose, the other party may refer to that decision in their infringement claim, though Courts are not bound by IP Australia's decisions.

* The other party may still take court action during the process.",,,Any person can oppose accepted trade marks within the opposition period.,,"Between 1% - 3% of trade marks whose acceptance is advertised are opposed. This currently equates to around 2,000 oppositions to registration per year.","* IP Australia refuses the application and the trade mark does become registered.

* The applicant narrows or amends thegoods and services specified in thetrade markapplication, and it proceeds in a reduced form.

* The oppositionto registering the trade mark is dismissedand the trade markis registered without changes.

* Either party appeals a decisionto the AdministrativeReview Tribunal, or the Federal Court of Australia, or the Federal Circuit and Family Court.

* The parties settle privately and withdraw the opposition (or application) before a decision."
C1005,IP Audit,"* May help identify and address legal or infringement risks early.

* Can support compliance with IP laws and regulations.

* Can demonstrate to investors and partners that you have a clear understanding and control over your IP.

* Can provide strategic insights to maximise commercial use of your IP.","* May require specialised expertise, which can add complexity or cost.

* Confidential information might be exposed if not handled securely.

* One-off audits can become outdated - regular reviews are usually needed.",,,Any IP rights holder or authorised user managing IP assets.,,Conducting a one-off or regular IP audit is a practice commonly used by businesses that own or use multiple IP assets.,"Possible outcomes of an IP audit would depend heavily on factors such as the scope of the IP portfolio being audited, commercial strategies surrounding your business and the quality of the IP rights involved.
Noting that outcomes may vary heavily, possible outcomes of an IP audit can include, but are not limited to:
* A comprehensive IP register showing a record of IP assets that your business owns or has permission to use, the relevant IP owners and renewal dates

* Clear list of possible infringement risks and how to handle them

* Decision to get ongoing help from an IP professional."
B1007,Opposition process,"* Gives you a formal chance to defend your patent.

* You can make changes to your claims to overcome objections.

* If successful, your patent is more likely to stand up to future challenges.

* A Delegatewith significant experience in both IP law and the specific technical area, not a judge, makes the decision-this may be less intimidating while still providing a confident decision.

* The process helps clarify the strength of your patent early on.

* You can withdraw from the opposition process at any time before the hearing officer has made a decision. This allows parties to start and continue negotiation throughout the opposition process and agree to withdraw from the process if a settlement is reached.","* If you do not engage or are unsuccessful in defending the opposition, you may lose some or all of your patent rights.

* Preparing evidence and submissions takes time and money.

* The opponent may raise issues that prompt a re-consideration of your whole patent.

* The process may reveal technical or commercial weaknesses in your application.

* You may need professional help to effectively respond.",,,"* Patent applicants or holders whose patent applicationhas been opposed through IP Australia.

* You must be theofficial applicantor theauthorised agentlisted with IP Australia to engage in this process.",,Oppositions to patent applications are rare - fewer than two per cent of accepted standard applications are opposed. IP Australia's Patent Opposition and Hearing Section published 54 decisions in 2024 and 66 decisions in 2023.,"There are four possible outcomes to your patent being opposed

:
* The opposition is dismissed and your patent is granted, unchanged.

* The opposition is successful, the Delegate revokes your patent altogether.

* The opposition is successful, and the Delegate decides that it is possible to modify your patent (e.g. narrowing the claims).

* The opposition is withdrawn by the other party (generally a result of negotiations and agreements taking place between the parties) and the Delegate does not decide anything.
Note that the following are also possible outcomes;
* Costs may be awarded to one side depending on the outcome.

* You or the opponent may appeal the Delegate's decision to the Federal Court."
C1013,Monitor Competitors ' IP,"* There is a higher chance of detecting potential conflicts early, before it escalates into a serious dispute or products reach shelves.

* Gives you more time to gather evidence and consider responses such asinformal contactortrade mark opposition.

* Could deter others from copying your brand once they know that you are actively monitoring.

* Helps you have an overview of the gaps and trends in rival trade mark filings, which can inform your overall intellectual property (IP) strategy.","* Responding to low-risk applications may negatively affect your reputation, and may be a waste of time and money.",,,"Anyone who owns or is authorised to use a registered or unregistered trade mark and wants to stay alerted to possible conflicts.
Anyone planning to register a trade mark or launch a brand can also monitor filings to observe trends in trade mark filings.",,Monitoring competitors' trade marks is widely recognised as best practice for trade mark holders. Businesses also commonly use IP monitoring services or software to help them detect potential conflicts early.,"* You find no conflicting activity and gain peace of mind.

* You spot apotentiallyconflicting application and decide to oppose its registration.

* You contact the other business early and resolve concerns informally.

* You decide tore-brandor adjust marketing before launch to avoid clash."
101-4,Infringement 101,,,,,,,,
D1015,Trade mark non-use action,"Simple, fast and low-cost (when unopposed)
Removal application can be a simple, fast and low-cost option when a registered trade mark in question has not been used in the marketplace for a considerable period of time, or when the owner of a trade mark does not use or intend to use the trade mark in good faith.
If your application to remove a trade mark on the basis of non-use is unopposed, your request will be actioned following the two-month opposition period.
* In about 60% of cases, removal applications will not lead to an adversarial process, as those who are genuinely not using their trade marks typically do not oppose the application for removal.","Escalation into further opposition process or court proceedings
After an application for removal has been filed and published, any person can oppose it within 2 months of the publishing date and tell IP Australia that they disagree that the trade mark has not been used. If you wish to respond to the opposition and establish that there is a case for removal based on non-use, this will lengthen the removal process and take up further cost, time and efforts.
A party who is dissatisfied with IP Australia's decision can also appeal it to the Federal Court or the Federal Circuit Court and Family Court of Australia, which could be highly time-consuming and costly.
Exposure resulting from notification and publication
The owner and their representative of the trade mark which is subject to a removal procedure will be notified of your application to remove the trade mark. This notification happens within one month of filing the application. A copy of the application will be forwarded with the notification, which will include your details and the details of your filing.
IP Australia also must give notice of the application for removal by publishing it on the Australian Trade Marks Search ('the Register'). This means that other parties would be aware of your identity and also your attempt to remove the trade mark from the Register. This may trigger the other party to oppose your application or initiate other forms of action (i.e. administrative hearings, court proceedings, etc.) against you and/or your business.",,,Any person can file an application for removal or cessation of protection of a trade mark for non-use.,,"IP Australia received approximately 1,000-1,500 applications annually for removal for non-use over the 5-year period of 2019-2024.","If the application for removal is advertised and no one opposes it within the required time:
* The trade mark will be completely removed from the Register, or

* The trade mark will partially be removed from the Register, namely in relation to the goods and services as specified in your application for removal.
If the other party opposes your request to remove their trade mark within the two-month opposition period, you will be given one month to indicate that you will defend your application for removal from opposition.
The person opposing the removal of the trade mark is required to establish, by filing evidence, that they have used the trade mark for the goods and services which are the subject of the removal application or that there are other circumstances justifying the non-use of the mark.
IP Australia will follow the processes prescribed in the law to decide the outcome, which could be any of the following:
* The trade mark will be completely, or partially, removed from the Register (as above).

* The Registrar decides the trade mark should remain registered.

* In rare cases, the scope of the registered mark is limited in some way (e.g. to a specific territory)."
B1004,IP attorney or lawyer  ,"You receive clear, tailored guidance on the strength of the allegation and any defences.
* Early advice may prevent costly missteps such as accidental admissions or missed deadlines.

* They can handle stressful correspondence with the other side, letting you focus on the business.

* They can negotiate outcomes that preserve commercial relationships and limit public attention.

* They are bound by codes of conduct, professional standards and ethical obligations to act in your best interests, stay away from conflicts of interests and unethical conduct.

* They are able to recognise common issues which come up and refer you to other professionals if and when needed.","* Most IP lawyers and IP attorneys have different specialties and may be more effective in their particular field of expertise. For instance, an IP lawyer may be highly experienced in dealing with trade marks, but not so much in patents, or vice versa. Only lawyers can conduct proceedings in a court so, if you engage an IP attorney rather than an IP lawyer, they would need to refer you to an IP lawyer if you find you need to go to court to enforce your IP rights.

* Obtaining professional advice can be costly - see 'What might the costs be?' below.",,,* Anyone concerned about or accused of IP infringement.,,Many businesses use the services of IP lawyers or IP attorneys where they need advice or assistance.,The outcomes of seeing an IP lawyer or IP attorney depend heavily on your individual circumstances.
B1003,De-escalate,"* Can potentially de-escalate the situation and reduce the likelihood of expensive legal action or compensation claims - but often the other party will demand you do more than just stop using their IP. Other parties may still insist on other demands like you compensating them for your use of their IP up to the point where you stopped.

* Outcomes can be private where either the parties agree not to disclose the alleged infringement or they reach no formal agreement but neither party discloses it.

* Can show you're acting in good faith, which may help in future discussions, business dealings and negotiation - although this will depend on the nature of the alleged infringement.","* Ceasing use of contested IP may cause you to lose business revenue or incur business costs. This risk should be considered against the risk of further action against you if you do not cease use of contested IP.

* Ceasing use of contested IP may not prevent the IP owner seeking compensation for past use or otherwise taking further steps against you.

* The other party might see this action as conceding that you were infringing. Clear communication may sometimes help mitigate (but not eliminate) this risk, and you should note that admitting any fault or liability may well assist the other party's legal position against you.",,,Anyone who has been accused of using someone else's IP.,,Stopping the use of contested IP is a commonly used approach.,"* The IP owner accepts your response and nothing further happens.

* The IP owner may still not be satisfied with your actions and take further action.

* You might not be satisfied with permanently ceasing use of the contested IP, and could choose to further explore whether you are infringing and consider resuming your previous activities or taking other action."
D1020,"Sorry, This information isn't available yet",,,,,,,,
